#没有用的资料罢了，B站的中立性被钻了空子#





活动排名         视频号           活动投票数     观看数                视频标题
   4    av285162308/BV1mc411h7Jx     20801       28362     【肖战】纵是年少风流可入画，却也自成风骨难笔拓
   5    av497743671/BV1ZK411L7ds     19183       23357     【肖战×肖赞】          ᵀʰᵉ ᵐᵒᵒⁿ ᵈᵒᵉˢ ⁿᵒᵗ ʰᵒˡᵈ ʸᵒᵘ, ᵗⁱᵐᵉ ᵈᵉˢᵗʳᵒʸˢ ʸᵒᵘ, ᵇᵘᵗ ᴵ ˡᵒᵛᵉ ʸᵒᵘ.
   6    av285225485/BV1kf4y1U7Uq     18835       15485     【肖战笑颜】战战超甜治愈系笑容|你的微笑 编织了每一个奇妙
   7    av455244023/BV1s5411t78v     18585       16176     【肖战|处处吻】走过路过不能错过的绝美小赞
   8    av412628356/BV1jV411o7xV     18350       22028     肖战｜stay｜心动踩点修改版
   9    av625145995/BV1Gt4y1U7Ww     17342       15847     【肖战】今日份心动男孩，治愈系笑容
   10    av625216374/BV1At4y127Vo     16790       13103     【肖战】sean xiao×swimming poolsⅠ战哥个人向剪辑Ⅰ他依然还是那个叫肖战的少年
   12    av795139145/BV1jC4y1s73n     16303       9498     可归否【肖战|心动窒息向】爱上你等于爱上寂寞
   13    av667676988/BV1Sa4y1t7ok     15820       9230     【肖战 | 水仙向】【言冰云✖魏无羡】《浮生若梦·上篇》
   14    av837685730/BV14g4y187Sk     15625       8201     肖战你的笑容，是我们最大的鼓励
   15    av625136584/BV1gt4y1U727     14518       8081     【肖战】心动卡点剪辑
   17    av242638773/BV1ye411x7BM     13055       7237     肖战 Solo
   19    av667694827/BV1Wa4y1x7xE     12294       7867     【肖战】啊..哥..太快了..
   36    av837723547/BV1Bg4y187b1     5324       3333     【肖战丨眼神杀混剪】肖战的眼睛有多好看丨心动狙击丨Done for me
   38    av752633930/BV1ak4y197ut     4995       2793     【肖战｜民国故梦】豪门贵公子的旧梦时光
   40    av455218792/BV1t5411t7xB     4766       2267     西窗烟雨 ‖ 肖战古风治愈向混剪
   44    av710126493/BV1mQ4y1M76Z     4559       3320     【肖战】BT向||肖恶魔|超A《恶之花》踩点
   45    av882691900/BV1bK4y1r79U     4491       1823     【肖战】唯一的你 | 肖学长 | 校园风混剪
   46    av412720063/BV1yV411o7PM     4360       1801     【肖战｜个人向】小冤家
   49    av200173885/BV1zz411b7Zh     4049       1837     【肖战】你热爱的将永远给你快乐，阻挡你的终将被你收服。
   50    av242680034/BV1ue41147xy     3901       2478     【肖战|E.T.】超A混剪
   52    av582673600/BV1a64y1u7Jf     3818       1554     【肖战】一个永远都在鞠躬的男孩
   55    av967734351/BV1Up4y1C7TE     3737       1822     【肖战｜个人向】A向杂志踩点混剪
   58    av840144173/BV1e54y1d7Ch     3495       3767     【肖战|Grind me down】超A超欲苏向踩点
   60    av882722906/BV1zK4y1r7rx     3399       1263     【肖战/古装混剪】陌上人如玉，公子世无双
   65    av285205286/BV1Qc411h7qV     2959       1856     【肖战】跳舞心动挑战，你能坚持几秒？
   66    av285179652/BV1kc411h7gW     2740       2591     【肖战杨紫】尬舞青年欢乐多 Let's Dance 余生请多指教 余生夫妇剧cp 勿ky
   67    av582697296/BV1664y1u7Ak     2656       1412     肖战×魏无羡——吹梦到西洲
   77    av200212016/BV1Dz411b7ro     2050       864     【肖战心动瞬间】✦演技明场面 | 燃向合集
   78    av200188935/BV1Rz411b7Uw     1870       836     肖战—只为你的笑容不被辜负
   80    av412743571/BV1rV411o7dP     1792       649     肖战 | 一笑悬命 | 只要你在笑 世界就还好
   81    av752683081/BV1ok4y19789     1747       648     肖战 | 魏无羡 | 心生七面 善恶难辨
   83    av327732912/BV1FA411b7xD     1732       497     肖战，王一博，博君一肖
   84    av370149850/BV1cZ4y1x7SR     1721       689     【肖战丨让我留在你身边】热爱可抵岁月漫长 彼此保护不是说说而已
   86    av752705204/BV1Xk4y197ri     1663       754     【肖战】干净治愈甜向|《给你宇宙》坏心情都可以被干净的少年融化
   87    av412644944/BV13V411o7BR     1637       447     【肖战】GIF合集|一起舔颜叭~
   89    av840225816/BV1M54y197WV     1575       619     【肖战】顾魏个人 | 剧情向混剪 | 黑化预警
   91    av582640054/BV1p64y1u7F8     1464       474     【肖战】魏无羡混剪

2020-04-09 14:31:04：
   1    av200133555/BV14z411b79Z     23254       72583     【肖战古装混剪】有眼睛的人会去看，有心的人会去感受。
   2    av840130595/BV1n54y1d7YZ     22158       42857     肖战｜裙下之臣｜世人责怪你挑起战争
   3    av625152734/BV1xt4y1U7EN     20915       24199     ［肖战］美颜系列—《我们的歌》1
   4    av285162308/BV1mc411h7Jx     20832       28397     【肖战】纵是年少风流可入画，却也自成风骨难笔拓
   5    av497743671/BV1ZK411L7ds     19208       23388     【肖战×肖赞】          ᵀʰᵉ ᵐᵒᵒⁿ ᵈᵒᵉˢ ⁿᵒᵗ ʰᵒˡᵈ ʸᵒᵘ, ᵗⁱᵐᵉ ᵈᵉˢᵗʳᵒʸˢ ʸᵒᵘ, ᵇᵘᵗ ᴵ ˡᵒᵛᵉ ʸᵒᵘ.
   6    av285225485/BV1kf4y1U7Uq     18859       15522     【肖战笑颜】战战超甜治愈系笑容|你的微笑 编织了每一个奇妙
   7    av455244023/BV1s5411t78v     18616       16217     【肖战|处处吻】走过路过不能错过的绝美小赞
   8    av412628356/BV1jV411o7xV     18378       22062     肖战｜stay｜心动踩点修改版
   9    av625145995/BV1Gt4y1U7Ww     17365       15881     【肖战】今日份心动男孩，治愈系笑容
   10    av625216374/BV1At4y127Vo     16809       13129     【肖战】sean xiao×swimming poolsⅠ战哥个人向剪辑Ⅰ他依然还是那个叫肖战的少年
   12    av795139145/BV1jC4y1s73n     16322       9516     可归否【肖战|心动窒息向】爱上你等于爱上寂寞
   13    av667676988/BV1Sa4y1t7ok     15839       9256     【肖战 | 水仙向】【言冰云✖魏无羡】《浮生若梦·上篇》
   14    av837685730/BV14g4y187Sk     15643       8219     肖战你的笑容，是我们最大的鼓励
   15    av625136584/BV1gt4y1U727     14537       8098     【肖战】心动卡点剪辑
   17    av242638773/BV1ye411x7BM     13081       7256     肖战 Solo
   19    av667694827/BV1Wa4y1x7xE     12313       7882     【肖战】啊..哥..太快了..
   36    av837723547/BV1Bg4y187b1     5346       3354     【肖战丨眼神杀混剪】肖战的眼睛有多好看丨心动狙击丨Done for me
   38    av752633930/BV1ak4y197ut     5019       2807     【肖战｜民国故梦】豪门贵公子的旧梦时光
   40    av455218792/BV1t5411t7xB     4787       2273     西窗烟雨 ‖ 肖战古风治愈向混剪
   43    av710126493/BV1mQ4y1M76Z     4576       3333     【肖战】BT向||肖恶魔|超A《恶之花》踩点
   45    av882691900/BV1bK4y1r79U     4511       1832     【肖战】唯一的你 | 肖学长 | 校园风混剪
   46    av412720063/BV1yV411o7PM     4379       1806     【肖战｜个人向】小冤家
   49    av200173885/BV1zz411b7Zh     4066       1846     【肖战】你热爱的将永远给你快乐，阻挡你的终将被你收服。
   50    av242680034/BV1ue41147xy     3920       2490     【肖战|E.T.】超A混剪
   52    av582673600/BV1a64y1u7Jf     3836       1557     【肖战】一个永远都在鞠躬的男孩
   55    av967734351/BV1Up4y1C7TE     3752       1829     【肖战｜个人向】A向杂志踩点混剪
   57    av840144173/BV1e54y1d7Ch     3511       3773     【肖战|Grind me down】超A超欲苏向踩点
   60    av882722906/BV1zK4y1r7rx     3416       1266     【肖战/古装混剪】陌上人如玉，公子世无双
   65    av285205286/BV1Qc411h7qV     2972       1865     【肖战】跳舞心动挑战，你能坚持几秒？
   66    av285179652/BV1kc411h7gW     2745       2597     【肖战杨紫】尬舞青年欢乐多 Let's Dance 余生请多指教 余生夫妇剧cp 勿ky
   67    av582697296/BV1664y1u7Ak     2669       1416     肖战×魏无羡——吹梦到西洲
   77    av200212016/BV1Dz411b7ro     2067       865     【肖战心动瞬间】✦演技明场面 | 燃向合集
   78    av200188935/BV1Rz411b7Uw     1885       840     肖战—只为你的笑容不被辜负
   80    av412743571/BV1rV411o7dP     1807       650     肖战 | 一笑悬命 | 只要你在笑 世界就还好
   81    av752683081/BV1ok4y19789     1759       650     肖战 | 魏无羡 | 心生七面 善恶难辨
   82    av327732912/BV1FA411b7xD     1738       497     肖战，王一博，博君一肖
   84    av370149850/BV1cZ4y1x7SR     1734       691     【肖战丨让我留在你身边】热爱可抵岁月漫长 彼此保护不是说说而已
   86    av752705204/BV1Xk4y197ri     1676       758     【肖战】干净治愈甜向|《给你宇宙》坏心情都可以被干净的少年融化
   87    av412644944/BV13V411o7BR     1650       451     【肖战】GIF合集|一起舔颜叭~
   89    av840225816/BV1M54y197WV     1586       621     【肖战】顾魏个人 | 剧情向混剪 | 黑化预警
   91    av582640054/BV1p64y1u7F8     1479       477     【肖战】魏无羡混剪

2020-04-09 14:36:04：
   1    av200133555/BV14z411b79Z     23289       72795     【肖战古装混剪】有眼睛的人会去看，有心的人会去感受。
   2    av840130595/BV1n54y1d7YZ     22186       42939     肖战｜裙下之臣｜世人责怪你挑起战争
   3    av625152734/BV1xt4y1U7EN     20948       24251     ［肖战］美颜系列—《我们的歌》1
   4    av285162308/BV1mc411h7Jx     20858       28461     【肖战】纵是年少风流可入画，却也自成风骨难笔拓
   5    av497743671/BV1ZK411L7ds     19226       23424     【肖战×肖赞】          ᵀʰᵉ ᵐᵒᵒⁿ ᵈᵒᵉˢ ⁿᵒᵗ ʰᵒˡᵈ ʸᵒᵘ, ᵗⁱᵐᵉ ᵈᵉˢᵗʳᵒʸˢ ʸᵒᵘ, ᵇᵘᵗ ᴵ ˡᵒᵛᵉ ʸᵒᵘ.
   6    av285225485/BV1kf4y1U7Uq     18878       15543     【肖战笑颜】战战超甜治愈系笑容|你的微笑 编织了每一个奇妙
   7    av455244023/BV1s5411t78v     18639       16239     【肖战|处处吻】走过路过不能错过的绝美小赞
   8    av412628356/BV1jV411o7xV     18400       22099     肖战｜stay｜心动踩点修改版
   9    av625145995/BV1Gt4y1U7Ww     17382       15915     【肖战】今日份心动男孩，治愈系笑容
   10    av625216374/BV1At4y127Vo     16830       13166     【肖战】sean xiao×swimming poolsⅠ战哥个人向剪辑Ⅰ他依然还是那个叫肖战的少年
   12    av795139145/BV1jC4y1s73n     16343       9555     可归否【肖战|心动窒息向】爱上你等于爱上寂寞
   13    av667676988/BV1Sa4y1t7ok     15859       9280     【肖战 | 水仙向】【言冰云✖魏无羡】《浮生若梦·上篇》
   14    av837685730/BV14g4y187Sk     15663       8245     肖战你的笑容，是我们最大的鼓励
   15    av625136584/BV1gt4y1U727     14553       8129     【肖战】心动卡点剪辑
   17    av242638773/BV1ye411x7BM     13094       7272     肖战 Solo
   19    av667694827/BV1Wa4y1x7xE     12321       7892     【肖战】啊..哥..太快了..
   36    av837723547/BV1Bg4y187b1     5354       3362     【肖战丨眼神杀混剪】肖战的眼睛有多好看丨心动狙击丨Done for me
   38    av752633930/BV1ak4y197ut     5026       2815     【肖战｜民国故梦】豪门贵公子的旧梦时光
   40    av455218792/BV1t5411t7xB     4797       2283     西窗烟雨 ‖ 肖战古风治愈向混剪
   43    av710126493/BV1mQ4y1M76Z     4583       3348     【肖战】BT向||肖恶魔|超A《恶之花》踩点
   45    av882691900/BV1bK4y1r79U     4520       1837     【肖战】唯一的你 | 肖学长 | 校园风混剪
   46    av412720063/BV1yV411o7PM     4389       1812     【肖战｜个人向】小冤家
   49    av200173885/BV1zz411b7Zh     4077       1851     【肖战】你热爱的将永远给你快乐，阻挡你的终将被你收服。
   50    av242680034/BV1ue41147xy     3928       2503     【肖战|E.T.】超A混剪
   52    av582673600/BV1a64y1u7Jf     3846       1565     【肖战】一个永远都在鞠躬的男孩
   55    av967734351/BV1Up4y1C7TE     3759       1835     【肖战｜个人向】A向杂志踩点混剪
   57    av840144173/BV1e54y1d7Ch     3516       3778     【肖战|Grind me down】超A超欲苏向踩点
   60    av882722906/BV1zK4y1r7rx     3423       1269     【肖战/古装混剪】陌上人如玉，公子世无双
   65    av285205286/BV1Qc411h7qV     2978       1871     【肖战】跳舞心动挑战，你能坚持几秒？
   66    av285179652/BV1kc411h7gW     2746       2603     【肖战杨紫】尬舞青年欢乐多 Let's Dance 余生请多指教 余生夫妇剧cp 勿ky
   67    av582697296/BV1664y1u7Ak     2672       1417     肖战×魏无羡——吹梦到西洲
   77    av200212016/BV1Dz411b7ro     2069       868     【肖战心动瞬间】✦演技明场面 | 燃向合集
   78    av200188935/BV1Rz411b7Uw     1889       844     肖战—只为你的笑容不被辜负
   80    av412743571/BV1rV411o7dP     1812       651     肖战 | 一笑悬命 | 只要你在笑 世界就还好
   81    av752683081/BV1ok4y19789     1763       656     肖战 | 魏无羡 | 心生七面 善恶难辨
   82    av327732912/BV1FA411b7xD     1740       499     肖战，王一博，博君一肖
   83    av370149850/BV1cZ4y1x7SR     1736       695     【肖战丨让我留在你身边】热爱可抵岁月漫长 彼此保护不是说说而已
   86    av752705204/BV1Xk4y197ri     1679       761     【肖战】干净治愈甜向|《给你宇宙》坏心情都可以被干净的少年融化
   87    av412644944/BV13V411o7BR     1653       452     【肖战】GIF合集|一起舔颜叭~
   89    av840225816/BV1M54y197WV     1586       623     【肖战】顾魏个人 | 剧情向混剪 | 黑化预警
   91    av582640054/BV1p64y1u7F8     1482       478     【肖战】魏无羡混剪

2020-04-09 14:41:04：
   1    av200133555/BV14z411b79Z     23319       73010     【肖战古装混剪】有眼睛的人会去看，有心的人会去感受。
   2    av840130595/BV1n54y1d7YZ     22219       43005     肖战｜裙下之臣｜世人责怪你挑起战争
   3    av625152734/BV1xt4y1U7EN     20979       24312     ［肖战］美颜系列—《我们的歌》1
   4    av285162308/BV1mc411h7Jx     20889       28527     【肖战】纵是年少风流可入画，却也自成风骨难笔拓
   5    av497743671/BV1ZK411L7ds     19256       23463     【肖战×肖赞】          ᵀʰᵉ ᵐᵒᵒⁿ ᵈᵒᵉˢ ⁿᵒᵗ ʰᵒˡᵈ ʸᵒᵘ, ᵗⁱᵐᵉ ᵈᵉˢᵗʳᵒʸˢ ʸᵒᵘ, ᵇᵘᵗ ᴵ ˡᵒᵛᵉ ʸᵒᵘ.
   6    av285225485/BV1kf4y1U7Uq     18904       15576     【肖战笑颜】战战超甜治愈系笑容|你的微笑 编织了每一个奇妙
   7    av455244023/BV1s5411t78v     18669       16268     【肖战|处处吻】走过路过不能错过的绝美小赞
   8    av412628356/BV1jV411o7xV     18431       22136     肖战｜stay｜心动踩点修改版
   9    av625145995/BV1Gt4y1U7Ww     17414       15937     【肖战】今日份心动男孩，治愈系笑容
   10    av625216374/BV1At4y127Vo     16857       13184     【肖战】sean xiao×swimming poolsⅠ战哥个人向剪辑Ⅰ他依然还是那个叫肖战的少年
   12    av795139145/BV1jC4y1s73n     16370       9576     可归否【肖战|心动窒息向】爱上你等于爱上寂寞
   13    av667676988/BV1Sa4y1t7ok     15885       9299     【肖战 | 水仙向】【言冰云✖魏无羡】《浮生若梦·上篇》
   14    av837685730/BV14g4y187Sk     15691       8268     肖战你的笑容，是我们最大的鼓励
   15    av625136584/BV1gt4y1U727     14581       8144     【肖战】心动卡点剪辑
   17    av242638773/BV1ye411x7BM     13121       7297     肖战 Solo
   19    av667694827/BV1Wa4y1x7xE     12343       7907     【肖战】啊..哥..太快了..
   36    av837723547/BV1Bg4y187b1     5372       3373     【肖战丨眼神杀混剪】肖战的眼睛有多好看丨心动狙击丨Done for me
   38    av752633930/BV1ak4y197ut     5041       2825     【肖战｜民国故梦】豪门贵公子的旧梦时光
   40    av455218792/BV1t5411t7xB     4809       2289     西窗烟雨 ‖ 肖战古风治愈向混剪
   43    av710126493/BV1mQ4y1M76Z     4596       3358     【肖战】BT向||肖恶魔|超A《恶之花》踩点
   45    av882691900/BV1bK4y1r79U     4532       1842     【肖战】唯一的你 | 肖学长 | 校园风混剪
   46    av412720063/BV1yV411o7PM     4401       1815     【肖战｜个人向】小冤家
   49    av200173885/BV1zz411b7Zh     4087       1854     【肖战】你热爱的将永远给你快乐，阻挡你的终将被你收服。
   50    av242680034/BV1ue41147xy     3938       2510     【肖战|E.T.】超A混剪
   52    av582673600/BV1a64y1u7Jf     3856       1569     【肖战】一个永远都在鞠躬的男孩
   55    av967734351/BV1Up4y1C7TE     3770       1846     【肖战｜个人向】A向杂志踩点混剪
   57    av840144173/BV1e54y1d7Ch     3527       3783     【肖战|Grind me down】超A超欲苏向踩点
   60    av882722906/BV1zK4y1r7rx     3440       1278     【肖战/古装混剪】陌上人如玉，公子世无双
   65    av285205286/BV1Qc411h7qV     2986       1877     【肖战】跳舞心动挑战，你能坚持几秒？
   66    av285179652/BV1kc411h7gW     2747       2604     【肖战杨紫】尬舞青年欢乐多 Let's Dance 余生请多指教 余生夫妇剧cp 勿ky
   67    av582697296/BV1664y1u7Ak     2680       1423     肖战×魏无羡——吹梦到西洲
   77    av200212016/BV1Dz411b7ro     2075       871     【肖战心动瞬间】✦演技明场面 | 燃向合集
   78    av200188935/BV1Rz411b7Uw     1896       847     肖战—只为你的笑容不被辜负
   80    av412743571/BV1rV411o7dP     1817       653     肖战 | 一笑悬命 | 只要你在笑 世界就还好
   81    av752683081/BV1ok4y19789     1770       657     肖战 | 魏无羡 | 心生七面 善恶难辨
   82    av327732912/BV1FA411b7xD     1743       501     肖战，王一博，博君一肖
   83    av370149850/BV1cZ4y1x7SR     1742       698     【肖战丨让我留在你身边】热爱可抵岁月漫长 彼此保护不是说说而已
   86    av752705204/BV1Xk4y197ri     1685       766     【肖战】干净治愈甜向|《给你宇宙》坏心情都可以被干净的少年融化
   87    av412644944/BV13V411o7BR     1659       453     【肖战】GIF合集|一起舔颜叭~
   89    av840225816/BV1M54y197WV     1591       627     【肖战】顾魏个人 | 剧情向混剪 | 黑化预警
   91    av582640054/BV1p64y1u7F8     1489       481     【肖战】魏无羡混剪

2020-04-09 14:46:05：
   1    av200133555/BV14z411b79Z     23353       73325     【肖战古装混剪】有眼睛的人会去看，有心的人会去感受。
   2    av840130595/BV1n54y1d7YZ     22257       43087     肖战｜裙下之臣｜世人责怪你挑起战争
   3    av625152734/BV1xt4y1U7EN     21011       24365     ［肖战］美颜系列—《我们的歌》1
   4    av285162308/BV1mc411h7Jx     20930       28565     【肖战】纵是年少风流可入画，却也自成风骨难笔拓
   5    av497743671/BV1ZK411L7ds     19285       23500     【肖战×肖赞】          ᵀʰᵉ ᵐᵒᵒⁿ ᵈᵒᵉˢ ⁿᵒᵗ ʰᵒˡᵈ ʸᵒᵘ, ᵗⁱᵐᵉ ᵈᵉˢᵗʳᵒʸˢ ʸᵒᵘ, ᵇᵘᵗ ᴵ ˡᵒᵛᵉ ʸᵒᵘ.
   6    av285225485/BV1kf4y1U7Uq     18933       15602     【肖战笑颜】战战超甜治愈系笑容|你的微笑 编织了每一个奇妙
   7    av455244023/BV1s5411t78v     18697       16290     【肖战|处处吻】走过路过不能错过的绝美小赞
   8    av412628356/BV1jV411o7xV     18458       22174     肖战｜stay｜心动踩点修改版
   9    av625145995/BV1Gt4y1U7Ww     17436       15968     【肖战】今日份心动男孩，治愈系笑容
   10    av625216374/BV1At4y127Vo     16884       13222     【肖战】sean xiao×swimming poolsⅠ战哥个人向剪辑Ⅰ他依然还是那个叫肖战的少年
   12    av795139145/BV1jC4y1s73n     16393       9599     可归否【肖战|心动窒息向】爱上你等于爱上寂寞
   13    av667676988/BV1Sa4y1t7ok     15902       9329     【肖战 | 水仙向】【言冰云✖魏无羡】《浮生若梦·上篇》
   14    av837685730/BV14g4y187Sk     15714       8288     肖战你的笑容，是我们最大的鼓励
   15    av625136584/BV1gt4y1U727     14600       8157     【肖战】心动卡点剪辑
   17    av242638773/BV1ye411x7BM     13143       7316     肖战 Solo
   19    av667694827/BV1Wa4y1x7xE     12360       7923     【肖战】啊..哥..太快了..
   36    av837723547/BV1Bg4y187b1     5394       3379     【肖战丨眼神杀混剪】肖战的眼睛有多好看丨心动狙击丨Done for me
   38    av752633930/BV1ak4y197ut     5055       2834     【肖战｜民国故梦】豪门贵公子的旧梦时光
   40    av455218792/BV1t5411t7xB     4828       2296     西窗烟雨 ‖ 肖战古风治愈向混剪
   43    av710126493/BV1mQ4y1M76Z     4611       3373     【肖战】BT向||肖恶魔|超A《恶之花》踩点
   45    av882691900/BV1bK4y1r79U     4545       1850     【肖战】唯一的你 | 肖学长 | 校园风混剪
   46    av412720063/BV1yV411o7PM     4410       1822     【肖战｜个人向】小冤家
   49    av200173885/BV1zz411b7Zh     4097       1858     【肖战】你热爱的将永远给你快乐，阻挡你的终将被你收服。
   50    av242680034/BV1ue41147xy     3945       2518     【肖战|E.T.】超A混剪
   52    av582673600/BV1a64y1u7Jf     3864       1572     【肖战】一个永远都在鞠躬的男孩
   55    av967734351/BV1Up4y1C7TE     3778       1857     【肖战｜个人向】A向杂志踩点混剪
   57    av840144173/BV1e54y1d7Ch     3537       3787     【肖战|Grind me down】超A超欲苏向踩点
   60    av882722906/BV1zK4y1r7rx     3452       1283     【肖战/古装混剪】陌上人如玉，公子世无双
   64    av285205286/BV1Qc411h7qV     2995       1883     【肖战】跳舞心动挑战，你能坚持几秒？
   66    av285179652/BV1kc411h7gW     2750       2612     【肖战杨紫】尬舞青年欢乐多 Let's Dance 余生请多指教 余生夫妇剧cp 勿ky
   67    av582697296/BV1664y1u7Ak     2693       1433     肖战×魏无羡——吹梦到西洲
   77    av200212016/BV1Dz411b7ro     2084       875     【肖战心动瞬间】✦演技明场面 | 燃向合集
   78    av200188935/BV1Rz411b7Uw     1902       849     肖战—只为你的笑容不被辜负
   80    av412743571/BV1rV411o7dP     1826       657     肖战 | 一笑悬命 | 只要你在笑 世界就还好
   81    av752683081/BV1ok4y19789     1778       659     肖战 | 魏无羡 | 心生七面 善恶难辨
   82    av327732912/BV1FA411b7xD     1751       504     肖战，王一博，博君一肖
   83    av370149850/BV1cZ4y1x7SR     1750       702     【肖战丨让我留在你身边】热爱可抵岁月漫长 彼此保护不是说说而已
   86    av752705204/BV1Xk4y197ri     1693       770     【肖战】干净治愈甜向|《给你宇宙》坏心情都可以被干净的少年融化
   87    av412644944/BV13V411o7BR     1667       454     【肖战】GIF合集|一起舔颜叭~
   89    av840225816/BV1M54y197WV     1598       631     【肖战】顾魏个人 | 剧情向混剪 | 黑化预警
   91    av582640054/BV1p64y1u7F8     1497       485     【肖战】魏无羡混剪

2020-04-09 14:51:05：
   1    av200133555/BV14z411b79Z     23410       73542     【肖战古装混剪】有眼睛的人会去看，有心的人会去感受。
   2    av840130595/BV1n54y1d7YZ     22308       43180     肖战｜裙下之臣｜世人责怪你挑起战争
   3    av625152734/BV1xt4y1U7EN     21059       24428     ［肖战］美颜系列—《我们的歌》1
   4    av285162308/BV1mc411h7Jx     20981       28629     【肖战】纵是年少风流可入画，却也自成风骨难笔拓
   5    av497743671/BV1ZK411L7ds     19329       23555     【肖战×肖赞】          ᵀʰᵉ ᵐᵒᵒⁿ ᵈᵒᵉˢ ⁿᵒᵗ ʰᵒˡᵈ ʸᵒᵘ, ᵗⁱᵐᵉ ᵈᵉˢᵗʳᵒʸˢ ʸᵒᵘ, ᵇᵘᵗ ᴵ ˡᵒᵛᵉ ʸᵒᵘ.
   6    av285225485/BV1kf4y1U7Uq     18983       15649     【肖战笑颜】战战超甜治愈系笑容|你的微笑 编织了每一个奇妙
   7    av455244023/BV1s5411t78v     18744       16323     【肖战|处处吻】走过路过不能错过的绝美小赞
   8    av412628356/BV1jV411o7xV     18504       22206     肖战｜stay｜心动踩点修改版
   9    av625145995/BV1Gt4y1U7Ww     17478       15995     【肖战】今日份心动男孩，治愈系笑容
   10    av625216374/BV1At4y127Vo     16926       13254     【肖战】sean xiao×swimming poolsⅠ战哥个人向剪辑Ⅰ他依然还是那个叫肖战的少年
   12    av795139145/BV1jC4y1s73n     16434       9615     可归否【肖战|心动窒息向】爱上你等于爱上寂寞
   13    av667676988/BV1Sa4y1t7ok     15935       9339     【肖战 | 水仙向】【言冰云✖魏无羡】《浮生若梦·上篇》
   14    av837685730/BV14g4y187Sk     15754       8312     肖战你的笑容，是我们最大的鼓励
   15    av625136584/BV1gt4y1U727     14635       8173     【肖战】心动卡点剪辑
   17    av242638773/BV1ye411x7BM     13177       7331     肖战 Solo
   19    av667694827/BV1Wa4y1x7xE     12388       7945     【肖战】啊..哥..太快了..
   36    av837723547/BV1Bg4y187b1     5420       3407     【肖战丨眼神杀混剪】肖战的眼睛有多好看丨心动狙击丨Done for me
   38    av752633930/BV1ak4y197ut     5080       2852     【肖战｜民国故梦】豪门贵公子的旧梦时光
   40    av455218792/BV1t5411t7xB     4847       2302     西窗烟雨 ‖ 肖战古风治愈向混剪
   43    av710126493/BV1mQ4y1M76Z     4634       3388     【肖战】BT向||肖恶魔|超A《恶之花》踩点
   45    av882691900/BV1bK4y1r79U     4568       1858     【肖战】唯一的你 | 肖学长 | 校园风混剪
   46    av412720063/BV1yV411o7PM     4431       1828     【肖战｜个人向】小冤家
   49    av200173885/BV1zz411b7Zh     4115       1866     【肖战】你热爱的将永远给你快乐，阻挡你的终将被你收服。
   50    av242680034/BV1ue41147xy     3965       2533     【肖战|E.T.】超A混剪
   52    av582673600/BV1a64y1u7Jf     3881       1577     【肖战】一个永远都在鞠躬的男孩
   55    av967734351/BV1Up4y1C7TE     3793       1865     【肖战｜个人向】A向杂志踩点混剪
   57    av840144173/BV1e54y1d7Ch     3550       3795     【肖战|Grind me down】超A超欲苏向踩点
   60    av882722906/BV1zK4y1r7rx     3465       1287     【肖战/古装混剪】陌上人如玉，公子世无双
   64    av285205286/BV1Qc411h7qV     3008       1895     【肖战】跳舞心动挑战，你能坚持几秒？
   66    av285179652/BV1kc411h7gW     2751       2614     【肖战杨紫】尬舞青年欢乐多 Let's Dance 余生请多指教 余生夫妇剧cp 勿ky
   67    av582697296/BV1664y1u7Ak     2704       1440     肖战×魏无羡——吹梦到西洲
   77    av200212016/BV1Dz411b7ro     2093       885     【肖战心动瞬间】✦演技明场面 | 燃向合集
   78    av200188935/BV1Rz411b7Uw     1911       854     肖战—只为你的笑容不被辜负
   80    av412743571/BV1rV411o7dP     1835       659     肖战 | 一笑悬命 | 只要你在笑 世界就还好
   81    av752683081/BV1ok4y19789     1785       661     肖战 | 魏无羡 | 心生七面 善恶难辨
   82    av370149850/BV1cZ4y1x7SR     1759       705     【肖战丨让我留在你身边】热爱可抵岁月漫长 彼此保护不是说说而已
   83    av327732912/BV1FA411b7xD     1755       507     肖战，王一博，博君一肖
   86    av752705204/BV1Xk4y197ri     1702       776     【肖战】干净治愈甜向|《给你宇宙》坏心情都可以被干净的少年融化
   87    av412644944/BV13V411o7BR     1675       458     【肖战】GIF合集|一起舔颜叭~
   89    av840225816/BV1M54y197WV     1609       637     【肖战】顾魏个人 | 剧情向混剪 | 黑化预警
   91    av582640054/BV1p64y1u7F8     1504       487     【肖战】魏无羡混剪

2020-04-09 14:56:05：
   1    av200133555/BV14z411b79Z     23478       73779     【肖战古装混剪】有眼睛的人会去看，有心的人会去感受。
   2    av840130595/BV1n54y1d7YZ     22365       43253     肖战｜裙下之臣｜世人责怪你挑起战争
   3    av625152734/BV1xt4y1U7EN     21118       24475     ［肖战］美颜系列—《我们的歌》1
   4    av285162308/BV1mc411h7Jx     21036       28686     【肖战】纵是年少风流可入画，却也自成风骨难笔拓
   5    av497743671/BV1ZK411L7ds     19375       23592     【肖战×肖赞】          ᵀʰᵉ ᵐᵒᵒⁿ ᵈᵒᵉˢ ⁿᵒᵗ ʰᵒˡᵈ ʸᵒᵘ, ᵗⁱᵐᵉ ᵈᵉˢᵗʳᵒʸˢ ʸᵒᵘ, ᵇᵘᵗ ᴵ ˡᵒᵛᵉ ʸᵒᵘ.
